dataHCNC_SF1,dataHCNC_SF2
0.0349065850398866,0.0315849439000212
0.0379783645233966,0.0273346858961838
0.0410501440069066,0.024875063133981
0.0441219234904167,0.0236744178893131
0.0471937029739267,0.0223613187459133
0.0502654824574367,0.0197940181256262
0.0533372619409467,0.0183379243173392
0.0564090414244567,0.017892688266758
0.0594808209079668,0.017168588645896
0.0625526003914768,0.0170108598331158
0.0656243798749868,0.0137893959310069
0.0686961593584968,0.0185886013064912
0.0717679388420068,0.0166682854260336
0.0748397183255169,0.0176402506766066
0.0779114978090269,0.0173282306072013
0.0809832772925369,0.0177500969585086
0.0840550567760469,0.0170211243288864
0.0871268362595569,0.0173241296608709
0.090198615743067,0.0166274711096191
0.093270395226577,0.0166274711096191
0.096342174710087,0.0179948809142077
0.099413954193597,0.0193327167607353
0.102485733677107,0.0193455055833931
0.105557513160617,0.0166603032391293
0.108629292644127,0.0159726891418643
0.111701072127637,0.0172914956680257
0.114772851611147,0.02009457222257
0.117844631094657,0.0219846018033328
0.120916410578167,0.022308198194589
0.123988190061677,0.0212634745143389
0.127059969545187,0.0232522103961281
0.130131749028697,0.0230105278109892
0.133203528512207,0.0282418621041499
0.136275307995717,0.026499308060207
0.139347087479227,0.0299306583180583
0.142418866962737,0.0276295843932701
0.145490646446247,0.0268286450479079
0.148562425929757,0.0260292609509215
0.151634205413267,0.0251341875263897
0.154705984896777,0.0264516881188005
0.157777764380287,0.0256540704244131
0.160849543863797,0.0266461789666607
0.163921323347307,0.0294961928154236
0.166993102830817,0.0251658364310603
0.170064882314327,0.0254071170195855
0.173136661797837,0.0234787206074167
0.176208441281348,0.0211110570540551
0.179280220764858,0.0222017140732471
0.182352000248368,0.0221135705346217
0.185423779731878,0.0234588704144073
0.188495559215388,0.0221232359990593
0.191567338698898,0.0229249720488102
0.194639118182408,0.0233498008895562
0.197710897665918,0.0234388336594335
0.200782677149428,0.0226300562281129
0.203854456632938,0.025714280006145
0.206926236116448,0.0248205418839083
0.209998015599958,0.0231709959752796
0.213069795083468,0.0229832913188736
0.216141574566978,0.0256149958689839
0.219213354050488,0.0269437740016782
0.222285133533998,0.0268290168672076
0.225356913017508,0.0313473813425099
0.228428692501018,0.0302178900247828
0.231500471984528,0.0319415017413726
0.234572251468038,0.029948813667376
0.237644030951548,0.0310700658228221
0.240715810435058,0.0316951329530289
0.243787589918568,0.0316907081968361
0.246859369402078,0.0319291220737042
0.249931148885588,0.0307367072433748
0.253002928369098,0.032250036091574
0.256074707852608,0.0341689112260614
0.259146487336118,0.0372802024559026
0.262218266819628,0.0387629919748505
0.265290046303138,0.0406100672451789
0.268361825786648,0.0391999801898938
0.271433605270158,0.0390492847631705
0.274505384753668,0.0384027915880245
0.277577164237178,0.0408256189601294
0.280648943720688,0.0390729197142532
0.283720723204198,0.0394535638025704
0.286792502687708,0.0397444838399575
0.289864282171218,0.0395728242756957
0.292936061654728,0.0400332967118586
0.296007841138238,0.0416824324427617
0.299079620621748,0.0444857936860179
0.302151400105258,0.0429243848515682
0.305223179588768,0.0433690804077648
0.308294959072278,0.0420255021839737
0.311366738555788,0.0402658189896151
0.314438518039298,0.0403836620378971
0.317510297522808,0.0396483725431691
0.320582077006318,0.0395940442640512
0.323653856489829,0.0401406817948602
0.326725635973339,0.0408441480383656
0.329797415456849,0.0410743549201072
0.332869194940359,0.0415816958230801
0.335940974423869,0.0425609188530242
0.339012753907379,0.0453117292656215
0.342084533390889,0.048067016090698
0.345156312874399,0.0486564485869253
0.348228092357909,0.0509068274072609
0.351299871841419,0.0523387710000493
0.354371651324929,0.0542109074250406
0.357443430808439,0.0591720261463432
0.360515210291949,0.0582341667139696
0.363586989775459,0.0578995429559358
0.366658769258969,0.0573187649001552
0.369730548742479,0.0559765002571051
0.372802328225989,0.0580564508960728
0.375874107709499,0.0549711145695196
0.378945887193009,0.0532616205171052
0.382017666676519,0.0532404670555161
0.385089446160029,0.0503868638486234
0.388161225643539,0.0510806960248061
0.391233005127049,0.0508869212456621
0.394304784610559,0.05122479969172
0.397376564094069,0.050650080831889
0.400448343577579,0.0510941390685373
0.403520123061089,0.057686705071465
0.406591902544599,0.054021022325676
0.409663682028109,0.0540788226142748
0.412735461511619,0.0547677679644142
0.415807240995129,0.0547721674347377
0.418879020478639,0.052207835922021
0.421950799962149,0.0550945465091764
0.425022579445659,0.0564113347740869
0.428094358929169,0.0569055430711071
0.431166138412679,0.0593255966060053
0.434237917896189,0.0630057687957871
0.437309697379699,0.066465696459873
0.440381476863209,0.072153977749717
0.443453256346719,0.074012293492554
0.446525035830229,0.0782483925015251
0.449596815313739,0.0785161499087506
0.452668594797249,0.0790507464500232
0.455740374280759,0.0790422630861954
0.458812153764269,0.0818916985928688
0.461883933247779,0.084725473718748
0.464955712731289,0.0841858320211936
0.468027492214799,0.0899441613720813
0.471099271698309,0.0909438143120755
0.47417105118182,0.0919551944507438
0.47724283066533,0.0902445299513485
0.48031461014884,0.0947962506288482
0.48338638963235,0.0949745717109235
0.48645816911586,0.0964199520434476
0.48952994859937,0.0929636216295191
0.49260172808288,0.0885582428786148
0.49567350756639,0.0867525162205287
0.4987452870499,0.0889630792058117
0.50181706653341,0.0929208282015992
0.50488884601692,0.095364376343488
0.50796062550043,0.0951780351898309
0.51103240498394,0.0969233646761402
0.51410418446745,0.0995602166171524
0.51717596395096,0.101212047012912
0.52024774343447,0.107343587408707
0.52331952291798,0.107211793681665
0.52639130240149,0.107983317994537
0.529463081885,0.111727585585663
0.53253486136851,0.113758777640202
0.53560664085202,0.111412387814267
0.53867842033553,0.114509303985415
0.54175019981904,0.114695026530967
0.54482197930255,0.113985462883384
0.54789375878606,0.113959370147468
0.55096553826957,0.114055107000926
0.55403731775308,0.117044633818897
0.55710909723659,0.117556562760326
0.5601808767201,0.118828229007509
0.56325265620361,0.121389558683549
0.56632443568712,0.125027724257139
0.56939621517063,0.127696573027218
0.57246799465414,0.128201752234593
0.57553977413765,0.130790086481775
0.57861155362116,0.131862773761226
0.58168333310467,0.128333572141731
0.58475511258818,0.127979731611185
0.58782689207169,0.129125938894162
0.5908986715552,0.128943918547609
0.59397045103871,0.128530125725882
0.59704223052222,0.129805739765255
0.60011401000573,0.128408164778856
0.60318578948924,0.131302374490687
0.60625756897275,0.12992125760101
0.60932934845626,0.13475741478655
0.612401127939771,0.140010482805016
0.615472907423281,0.146332940554706
0.618544686906791,0.152105375431972
